Current Age,Sex 0=Male/1=Female,Smoker Status 0=Non-Smoker/1=Smoker,RI_Rate
24,0,1,0.0004764
25,0,1,0.0004569
26,0,1,0.0004413
27,0,1,0.0004299
28,0,1,0.0004234
29,0,1,0.0004219
30,0,1,0.0004257
31,0,1,0.0004393
32,0,1,0.0004619
33,0,1,0.0004946
34,0,1,0.0005343
35,0,1,0.0005862
36,0,1,0.0006476
37,0,1,0.0007217
38,0,1,0.0008129
39,0,1,0.0009175
40,0,1,0.001043
41,0,1,0.0011854
42,0,1,0.0013494
43,0,1,0.0015422
44,0,1,0.0017581
45,0,1,0.0020095
46,0,1,0.0022702
47,0,1,0.0025491
48,0,1,0.0028596
49,0,1,0.0032035
50,0,1,0.0035845
51,0,1,0.0040064
52,0,1,0.0044717
53,0,1,0.0049845
54,0,1,0.0055314
55,0,1,0.0061489
56,0,1,0.0068267
57,0,1,0.0075701
58,0,1,0.0083842
59,0,1,0.0092751
60,0,1,0.0102489
61,0,1,0.0113124
62,0,1,0.0124278
63,0,1,0.013637
64,0,1,0.0149464
65,0,1,0.0163629
66,0,1,0.0178941
67,0,1,0.019547
68,0,1,0.0213292
69,0,1,0.0232492
70,0,1,0.0253145
71,0,1,0.0274029
72,0,1,0.0296215
73,0,1,0.0321382
74,0,1,0.0350148
75,0,1,0.0379109
76,0,1,0.0412288
77,0,1,0.0453056
78,0,1,0.0497548
79,0,1,0.0546023
80,0,1,0.0598589
81,0,1,0.0655316
82,0,1,0.0716385
83,0,1,0.0782012
84,0,1,0.0852411
85,0,1,0.0927787
86,0,1,0.0927787
87,0,1,0.0927787
88,0,1,0.0927787
89,0,1,0.0927787
90,0,1,0.0927787
91,0,1,0.0927787
92,0,1,0.0927787
93,0,1,0.0927787
94,0,1,0.0927787
95,0,1,0.0927787
96,0,1,0.0927787
97,0,1,0.0927787
98,0,1,0.0927787
99,0,1,0.0927787
100,0,1,0.0927787
101,0,1,0.0927787
102,0,1,0.0927787
0,1,1,0.0002496
1,1,1,0.0002496
2,1,1,0.0002496
3,1,1,0.0002496
4,1,1,0.0002496
5,1,1,0.0002496
6,1,1,0.0002496
7,1,1,0.0002496
8,1,1,0.0002496
9,1,1,0.0002496
10,1,1,0.0002496
11,1,1,0.0002496
12,1,1,0.0002496
13,1,1,0.0002496
14,1,1,0.0002496
15,1,1,0.0002496
16,1,1,0.0002496
17,1,1,0.0002496
18,1,1,0.0002496
19,1,1,0.0002449
20,1,1,0.0002411
21,1,1,0.0002386
22,1,1,0.0002373
23,1,1,0.0002373
24,1,1,0.0002394
25,1,1,0.0002432
26,1,1,0.0002487
27,1,1,0.0002585
28,1,1,0.0002741
29,1,1,0.0002944
30,1,1,0.0003177
31,1,1,0.0003479
32,1,1,0.0003846
33,1,1,0.000429
34,1,1,0.0004759
35,1,1,0.0005318
36,1,1,0.0005921
37,1,1,0.0006604
38,1,1,0.0007414
39,1,1,0.0008284
40,1,1,0.0009311
41,1,1,0.0010415
42,1,1,0.0011657
43,1,1,0.0013118
44,1,1,0.0014692
45,1,1,0.0016543
46,1,1,0.0018287
47,1,1,0.0020031
48,1,1,0.0021946
49,1,1,0.0024047
50,1,1,0.0026349
51,1,1,0.0028872
52,1,1,0.0031638
53,1,1,0.0034669
54,1,1,0.0037792
55,1,1,0.00414
56,1,1,0.0045348
57,1,1,0.0049669
58,1,1,0.0054392
59,1,1,0.0059552
60,1,1,0.0065189
61,1,1,0.0071349
62,1,1,0.0077631
63,1,1,0.0084426
64,1,1,0.0091777
65,1,1,0.0099727
66,1,1,0.010831
67,1,1,0.0117571
68,1,1,0.012756
69,1,1,0.0138321
70,1,1,0.0149901
71,1,1,0.016122
72,1,1,0.0173214
73,1,1,0.0187287
74,1,1,0.0203901
75,1,1,0.0220185
76,1,1,0.0239472
77,1,1,0.0264513
78,1,1,0.0292106
79,1,1,0.0322499
80,1,1,0.0355961
81,1,1,0.0392785
82,1,1,0.0433288
83,1,1,0.0477802
84,1,1,0.0526695
85,1,1,0.0580355
86,1,1,0.0580355
87,1,1,0.0580355
88,1,1,0.0580355
89,1,1,0.0580355
90,1,1,0.0580355
91,1,1,0.0580355
92,1,1,0.0580355
93,1,1,0.0580355
94,1,1,0.0580355
95,1,1,0.0580355
96,1,1,0.0580355
97,1,1,0.0580355
98,1,1,0.0580355
99,1,1,0.0580355
100,1,1,0.0580355
101,1,1,0.0580355
102,1,1,0.0580355
